api_id,method,path,source,line
API-0001,POST,/api/v1/auth/2fa/setup,api/src/routes/2fa.ts,163
API-0002,POST,/api/v1/auth/2fa/enable,api/src/routes/2fa.ts,182
API-0003,POST,/api/v1/auth/2fa/disable,api/src/routes/2fa.ts,242
API-0004,POST,/api/v1/auth/2fa/verify,api/src/routes/2fa.ts,306
API-0005,GET,/api/v1/auth/2fa/status,api/src/routes/2fa.ts,401
API-0006,POST,/api/v1/auth/2fa/operation-verify,api/src/routes/2fa.ts,427
API-0007,GET,/api/v1/admin/adjust/ledger,api/src/routes/admin-adjust.ts,99
API-0008,GET,/api/v1/admin/adjust/pending,api/src/routes/admin-adjust.ts,195
API-0009,POST,/api/v1/admin/adjust,api/src/routes/admin-adjust.ts,262
API-0010,POST,/api/v1/admin/adjust/:id/approve,api/src/routes/admin-adjust.ts,453
API-0011,POST,/api/v1/admin/adjust/:id/review,api/src/routes/admin-adjust.ts,515
API-0012,POST,/api/v1/admin/adjust/:id/reject,api/src/routes/admin-adjust.ts,708
API-0013,POST,/api/v1/admin/adjust/:id/reverse,api/src/routes/admin-adjust.ts,740
API-0014,GET,/api/v1/admin/agents,api/src/routes/admin-agents.ts,58
API-0015,PUT,/api/v1/admin/agents/:id,api/src/routes/admin-agents.ts,186
API-0016,GET,/api/v1/admin/conversion/funnel,api/src/routes/admin-analytics.ts,54
API-0017,GET,/api/v1/admin/cost/dashboard,api/src/routes/admin-analytics.ts,98
API-0018,GET,/api/v1/admin/cost/prediction,api/src/routes/admin-analytics.ts,166
API-0019,GET,/api/v1/admin/operator/dashboard,api/src/routes/admin-analytics.ts,222
API-0020,GET,/api/v1/admin/customer-success,api/src/routes/admin-analytics.ts,295
API-0021,GET,/api/v1/admin/announcements,api/src/routes/admin-announcements.ts,91
API-0022,POST,/api/v1/admin/announcements,api/src/routes/admin-announcements.ts,145
API-0023,PUT,/api/v1/admin/announcements/:id,api/src/routes/admin-announcements.ts,190
API-0024,DELETE,/api/v1/admin/announcements/:id,api/src/routes/admin-announcements.ts,257
API-0025,GET,/api/v1/admin/announcements/:id/readers,api/src/routes/admin-announcements.ts,275
API-0026,GET,/api/v1/admin/consumption/tracking,api/src/routes/admin-consumption.ts,521
API-0027,GET,/api/v1/admin/consumption/stream,api/src/routes/admin-consumption.ts,522
API-0028,GET,/api/v1/admin/consumption/anomalies,api/src/routes/admin-consumption.ts,523
API-0029,POST,/api/v1/admin/consumption/anomalies/:id/:op,api/src/routes/admin-consumption.ts,524
API-0030,GET,/api/v1/admin/balance-alert-config,api/src/routes/admin-consumption.ts,526
API-0031,PUT,/api/v1/admin/balance-alert-config,api/src/routes/admin-consumption.ts,530
API-0032,GET,/api/v1/admin/balance-alerts,api/src/routes/admin-consumption.ts,535
API-0033,POST,/api/v1/admin/balance-alerts/:userId/notify,api/src/routes/admin-consumption.ts,536
API-0034,GET,/api/v1/admin/conversation-records,api/src/routes/admin-conversation-records.ts,114
API-0035,GET,/api/v1/admin/conversation-records/retention,api/src/routes/admin-conversation-records.ts,164
API-0036,PUT,/api/v1/admin/conversation-records/retention,api/src/routes/admin-conversation-records.ts,177
API-0037,POST,/api/v1/admin/conversation-records/retention/run,api/src/routes/admin-conversation-records.ts,195
API-0038,GET,/api/v1/admin/conversation-records/:requestId,api/src/routes/admin-conversation-records.ts,204
API-0039,GET,/api/v1/admin/conversation-records/export,api/src/routes/admin-conversation-records.ts,239
API-0040,GET,/api/v1/admin/credit/meta,api/src/routes/admin-credit.ts,88
API-0041,GET,/api/v1/admin/credit/opened,api/src/routes/admin-credit.ts,130
API-0042,GET,/api/v1/admin/credit/customers,api/src/routes/admin-credit.ts,192
API-0043,GET,/api/v1/admin/credit/customers/:id,api/src/routes/admin-credit.ts,248
API-0044,GET,/api/v1/admin/credit/rules,api/src/routes/admin-credit.ts,274
API-0045,GET,/api/v1/admin/credit/rules/:id/history,api/src/routes/admin-credit.ts,341
API-0046,POST,/api/v1/admin/credit/rules,api/src/routes/admin-credit.ts,379
API-0047,PATCH,/api/v1/admin/credit/rules/:id,api/src/routes/admin-credit.ts,494
API-0048,POST,/api/v1/admin/credit/rules/:id/toggle,api/src/routes/admin-credit.ts,562
API-0049,GET,/api/v1/admin/customers,api/src/routes/admin-customers.ts,135
API-0050,GET,/api/v1/admin/customers/:id,api/src/routes/admin-customers.ts,231
