db_id,kind,name,source,line
DB-0001,table,accounting_periods,api/src/db/schema/accounting-periods.ts,9
DB-0002,table,adjustment_records,api/src/db/schema/adjustment-records.ts,25
DB-0003,table,admin_webhooks,api/src/db/schema/admin-webhooks.ts,10
DB-0004,table,agent_approvals,api/src/db/schema/agent-approvals.ts,23
DB-0005,table,agent_bank_accounts,api/src/db/schema/agent-bank-accounts.ts,5
DB-0006,table,agent_commissions,api/src/db/schema/agent-commissions.ts,9
DB-0007,table,agent_customers,api/src/db/schema/agent-customers.ts,6
DB-0008,table,agent_invitations,api/src/db/schema/agent-invitations.ts,14
DB-0009,table,agent_withdrawals,api/src/db/schema/agent-withdrawals.ts,10
DB-0010,table,agents,api/src/db/schema/agents.ts,11
DB-0011,table,announcements,api/src/db/schema/announcements.ts,3
DB-0012,table,api_keys,api/src/db/schema/api-keys.ts,10
DB-0013,table,audit_logs,api/src/db/schema/audit-logs.ts,3
DB-0014,table,balance_transactions,api/src/db/schema/balance-transactions.ts,26
DB-0015,table,campaign_participants,api/src/db/schema/campaign-participants.ts,13
DB-0016,table,campaigns,api/src/db/schema/campaigns.ts,3
DB-0017,table,chat_conversations,api/src/db/schema/chat-support.ts,9
DB-0018,table,chat_messages,api/src/db/schema/chat-support.ts,26
DB-0019,table,circuit_breaker_state,api/src/db/schema/circuit-breaker.ts,9
DB-0020,table,consent_policies,api/src/db/schema/consent.ts,10
DB-0021,table,consent_logs,api/src/db/schema/consent.ts,27
DB-0022,table,consumption_anomalies,api/src/db/schema/consumption-anomalies.ts,14
DB-0023,table,consumption_records,api/src/db/schema/consumption-records.ts,22
DB-0024,table,content_moderation,api/src/db/schema/content-moderation.ts,11
DB-0025,table,conversation_context_records,api/src/db/schema/conversation-context.ts,29
DB-0026,table,coupon_codes,api/src/db/schema/coupons.ts,3
DB-0027,table,campaign_coupon_codes,api/src/db/schema/coupons.ts,21
DB-0028,table,credit_limit_events,api/src/db/schema/credit-limit-events.ts,28
DB-0029,table,customer_balances,api/src/db/schema/customer-balances.ts,5
DB-0030,table,data_requests,api/src/db/schema/data-requests.ts,15
DB-0031,table,deletion_requests,api/src/db/schema/deletion-requests.ts,17
DB-0032,table,disputes,api/src/db/schema/disputes.ts,10
DB-0033,table,email_logs,api/src/db/schema/email-logs.ts,6
DB-0034,table,email_templates,api/src/db/schema/email-templates.ts,7
DB-0035,table,announcement_reads,api/src/db/schema/gap-fix-2026-08.ts,11
DB-0036,table,refund_requests,api/src/db/schema/gap-fix-2026-08.ts,26
DB-0037,table,follow_reminders,api/src/db/schema/gap-fix-2026-08.ts,48
DB-0038,table,customer_tags,api/src/db/schema/gap-fix-2026-08.ts,66
DB-0039,table,customer_notes,api/src/db/schema/gap-fix-2026-08.ts,81
DB-0040,table,support_test_keys,api/src/db/schema/gap-fix-2026-08.ts,98
DB-0041,table,knowledge_base_feedback,api/src/db/schema/gap-fix-2026-08.ts,115
DB-0042,table,i18n_entries,api/src/db/schema/i18n-entries.ts,13
DB-0043,table,invoices,api/src/db/schema/invoices.ts,27
DB-0044,table,ip_blacklist,api/src/db/schema/ip-blacklist.ts,14
DB-0045,table,knowledge_base_articles,api/src/db/schema/knowledge-base.ts,9
DB-0046,table,model_health_stats,api/src/db/schema/model-health-stats.ts,19
DB-0047,table,model_rate_limits,api/src/db/schema/model-rate-limits.ts,9
DB-0048,table,model_substitutability,api/src/db/schema/model-substitutability.ts,7
DB-0049,table,notifications,api/src/db/schema/notifications.ts,3
