call_id,method,path_or_expression,source,line
CALL-0001,GET,/models/${encodeURIComponent(model)}/channels,web-console/src/components/ChannelPriceMatrixModal.tsx,44
CALL-0002,GET,/me/consent/status,web-console/src/components/ConsentBanner.tsx,25
CALL-0003,POST,/me/consent/privacy,web-console/src/components/ConsentBanner.tsx,35
CALL-0004,POST,/me/consent/terms,web-console/src/components/ConsentBanner.tsx,40
CALL-0005,GET,/me/onboarding/status,web-console/src/components/OnboardingWizard.tsx,56
CALL-0006,POST,/me/onboarding/step,web-console/src/components/OnboardingWizard.tsx,63
CALL-0007,POST,/me/onboarding/skip,web-console/src/components/OnboardingWizard.tsx,69
CALL-0008,POST,/me/onboarding/complete,web-console/src/components/OnboardingWizard.tsx,80
CALL-0009,GET,/me/announcements/unread-count,web-console/src/layouts/ConsoleLayout.tsx,204
CALL-0010,GET,/me/settings,web-console/src/lib/i18n-context.tsx,127
CALL-0011,PUT,/me/settings,web-console/src/lib/i18n-context.tsx,162
CALL-0012,FETCH,${API_BASE}/api/v1/public/i18n/entries?${params.toString()},web-console/src/lib/i18n.ts,368
CALL-0013,FETCH,/api/v1${url},web-console/src/lib/vendor-api.ts,9
CALL-0014,GET,/admin/agents/approvals?keyword=${encodeURIComponent(keyword)}&agent=${encodeURIComponent(agent)},web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,49
CALL-0015,POST,/admin/agents/approvals/${id}/approve,web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,67
CALL-0016,POST,/admin/agents/approvals/${id}/reject,web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,73
CALL-0017,POST,/admin/agents/approvals/${id}/re-review,web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,79
CALL-0018,POST,/admin/agents/approvals/${id}/unbind,web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,85
CALL-0019,GET,/admin/audit-logs?keyword=${keyword}&action=${action}&page_size=50,web-console/src/pages/admin/AdminAuditLogPage.tsx,14
CALL-0020,GET,/admin/balance-alerts,web-console/src/pages/admin/AdminBalanceAlertPage.tsx,35
CALL-0021,GET,/admin/balance-alert-config,web-console/src/pages/admin/AdminBalanceAlertPage.tsx,42
CALL-0022,PUT,/admin/balance-alert-config,web-console/src/pages/admin/AdminBalanceAlertPage.tsx,47
CALL-0023,POST,/admin/balance-alerts/${userId}/notify,web-console/src/pages/admin/AdminBalanceAlertPage.tsx,53
CALL-0024,GET,/admin/commission/flow?${params.toString()},web-console/src/pages/admin/AdminCommissionFlowPage.tsx,64
CALL-0025,GET,/admin/competitive/monitor?model_type=${modelType},web-console/src/pages/admin/AdminCompetitiveMonitorPage.tsx,28
CALL-0026,GET,/admin/consumption/anomalies?severity=${severity}&page_size=50,web-console/src/pages/admin/AdminConsumptionAnomalyPage.tsx,35
CALL-0027,POST,/admin/consumption/anomalies/${id}/${op},web-console/src/pages/admin/AdminConsumptionAnomalyPage.tsx,42
CALL-0028,GET,/admin/consumption/stream?vendor=${vendor},web-console/src/pages/admin/AdminConsumptionStreamPage.tsx,33
CALL-0029,GET,/admin/consumption/tracking?keyword=${keyword}&period=${period}&page_size=50,web-console/src/pages/admin/AdminConsumptionTrackingPage.tsx,34
CALL-0030,GET,/admin/conversion/funnel?period=${period},web-console/src/pages/admin/AdminConversionFunnelPage.tsx,30
CALL-0031,GET,/admin/cost/dashboard?period=${period},web-console/src/pages/admin/AdminCostDashboardPage.tsx,13
CALL-0032,GET,/admin/cost/prediction?days=${days},web-console/src/pages/admin/AdminCostPredictionPage.tsx,13
CALL-0033,GET,/admin/customer-success?period=${period}&level=${level}&keyword=${keyword},web-console/src/pages/admin/AdminCustomerSuccessPage.tsx,98
CALL-0034,POST,/admin/suppliers/sync-all,web-console/src/pages/admin/AdminMarketplaceHealthPage.tsx,100
CALL-0035,GET,/admin/models/marketplace?window=${windowKey},web-console/src/pages/admin/AdminMarketplaceHealthPage.tsx,117
CALL-0036,GET,/admin/models/marketplace/${encodeURIComponent(expanded!)}/suppliers?window=${windowKey},web-console/src/pages/admin/AdminMarketplaceHealthPage.tsx,126
CALL-0037,GET,/admin/marketplace?keyword=${keyword}&category=${category},web-console/src/pages/admin/AdminMarketplacePage.tsx,14
CALL-0038,GET,/admin/vendor-models?keyword=${keyword}&vendor_id=${vendorId}&page_size=50,web-console/src/pages/admin/AdminModelServicePage.tsx,17
CALL-0039,PUT,/admin/vendor-models/${id},web-console/src/pages/admin/AdminModelServicePage.tsx,22
CALL-0040,PUT,/admin/vendor-models/${id},web-console/src/pages/admin/AdminModelServicePage.tsx,29
CALL-0041,GET,/admin/multimodal-models?keyword=${encodeURIComponent(keyword)}&type=${type},web-console/src/pages/admin/AdminMultimodalModelsPage.tsx,42
CALL-0042,PUT,/admin/multimodal-models/${id},web-console/src/pages/admin/AdminMultimodalModelsPage.tsx,50
CALL-0043,GET,/admin/operation/diff?period=${period}&page=${page}&page_size=${PAGE_SIZE},web-console/src/pages/admin/AdminOperationDiffPage.tsx,35
CALL-0044,GET,/admin/operator/dashboard?period=${period}&admin=${admin},web-console/src/pages/admin/AdminOperatorDashboardPage.tsx,26
CALL-0045,GET,/admin/price-changes/stats,web-console/src/pages/admin/AdminPriceChangePage.tsx,120
CALL-0046,GET,/admin/price-changes,web-console/src/pages/admin/AdminPriceChangePage.tsx,128
CALL-0047,GET,/admin/price-changes/dispatch-logs,web-console/src/pages/admin/AdminPriceChangePage.tsx,134
CALL-0048,GET,/admin/substitutability,web-console/src/pages/admin/AdminPriceChangePage.tsx,139
CALL-0049,GET,/admin/price-changes/${impactItem!.id}/impact,web-console/src/pages/admin/AdminPriceChangePage.tsx,144
CALL-0050,POST,/admin/price-changes/${id}/notify,web-console/src/pages/admin/AdminPriceChangePage.tsx,151
CALL-0051,PATCH,/admin/substitutability,web-console/src/pages/admin/AdminPriceChangePage.tsx,163
CALL-0052,GET,/admin/profit?period=${period},web-console/src/pages/admin/AdminProfitPage.tsx,13
CALL-0053,GET,/admin/reconciliation/diffs?status=${status}&page_size=50,web-console/src/pages/admin/AdminReconciliationDiffPage.tsx,20
CALL-0054,POST,/admin/reconciliation/diffs/${id}/${op},web-console/src/pages/admin/AdminReconciliationDiffPage.tsx,26
CALL-0055,GET,/admin/reconciliation?period=${period},web-console/src/pages/admin/AdminReconciliationPage.tsx,13
CALL-0056,GET,/admin/risk/events?status=${status}&keyword=${keyword}&page_size=50,web-console/src/pages/admin/AdminRiskEventsPage.tsx,17
CALL-0057,POST,/admin/risk/events/${id}/${op},web-console/src/pages/admin/AdminRiskEventsPage.tsx,22
CALL-0058,GET,/admin/risk/dashboard?period=${period},web-console/src/pages/admin/AdminRiskPage.tsx,14
CALL-0059,GET,/admin/risk/rules,web-console/src/pages/admin/AdminRiskRulesPage.tsx,16
CALL-0060,PUT,/admin/risk/rules/${id},web-console/src/pages/admin/AdminRiskRulesPage.tsx,21
CALL-0061,PUT,/admin/risk/rules/${body.id},web-console/src/pages/admin/AdminRiskRulesPage.tsx,28
CALL-0062,POST,/admin/risk/rules,web-console/src/pages/admin/AdminRiskRulesPage.tsx,28
CALL-0063,GET,/admin/security/incidents?status=${status}&page=${page}&page_size=${PAGE_SIZE},web-console/src/pages/admin/AdminSecurityIncidentPage.tsx,40
CALL-0064,POST,/admin/security/incidents/${id}/${op},web-console/src/pages/admin/AdminSecurityIncidentPage.tsx,46
CALL-0065,GET,/admin/security/ip-blacklist?keyword=${keyword},web-console/src/pages/admin/AdminSecurityIpBlacklistPage.tsx,36
CALL-0066,POST,/admin/security/ip-blacklist,web-console/src/pages/admin/AdminSecurityIpBlacklistPage.tsx,47
CALL-0067,DELETE,/admin/security/ip-blacklist/${id},web-console/src/pages/admin/AdminSecurityIpBlacklistPage.tsx,63
CALL-0068,GET,/admin/settlements?period=${period}&status=${status},web-console/src/pages/admin/AdminSettlementPage.tsx,17
CALL-0069,POST,/admin/settlements/${id}/settle,web-console/src/pages/admin/AdminSettlementPage.tsx,21
CALL-0070,GET,/admin/settings,web-console/src/pages/admin/AdminSmtpSettingsPage.tsx,34
CALL-0071,PUT,/admin/settings/smtp,web-console/src/pages/admin/AdminSmtpSettingsPage.tsx,49
CALL-0072,POST,/admin/settings/smtp/test,web-console/src/pages/admin/AdminSmtpSettingsPage.tsx,66
CALL-0073,GET,/admin/supplier-bill-match?vendor=${vendor}&period=${period}&status=${status},web-console/src/pages/admin/AdminSupplierBillMatchPage.tsx,76
CALL-0074,GET,/admin/suppliers/${id},web-console/src/pages/admin/AdminSupplierDetailPage.tsx,87
CALL-0075,POST,/admin/suppliers/${supplierId}/sync-models,web-console/src/pages/admin/AdminSupplierDetailPage.tsx,98
CALL-0076,PATCH,/admin/models/${modelId}/status,web-console/src/pages/admin/AdminSupplierDetailPage.tsx,113
CALL-0077,POST,/admin/suppliers/${supplierId}/models/batch-status,web-console/src/pages/admin/AdminSupplierDetailPage.tsx,124
CALL-0078,GET,/admin/suppliers?${params.toString()},web-console/src/pages/admin/AdminSupplierListPage.tsx,71
CALL-0079,POST,/admin/suppliers,web-console/src/pages/admin/AdminSupplierListPage.tsx,98
CALL-0080,POST,/admin/suppliers/${id}/sync-models,web-console/src/pages/admin/AdminSupplierListPage.tsx,118
CALL-0081,POST,/admin/suppliers/sync-all,web-console/src/pages/admin/AdminSupplierListPage.tsx,133
CALL-0082,GET,/admin/vendor-costs?keyword=${keyword}&page_size=50,web-console/src/pages/admin/AdminVendorCostPage.tsx,17
CALL-0083,PUT,/admin/vendor-costs/${body.id},web-console/src/pages/admin/AdminVendorCostPage.tsx,22
CALL-0084,GET,/admin/vendor-performance?period=${period},web-console/src/pages/admin/AdminVendorPerformancePage.tsx,13
CALL-0085,GET,/admin/vendor-pricing?keyword=${keyword}&page_size=50,web-console/src/pages/admin/AdminVendorPricingPage.tsx,17
CALL-0086,PUT,/admin/vendor-pricing/${body.id},web-console/src/pages/admin/AdminVendorPricingPage.tsx,22
CALL-0087,GET,/admin/vendor-profiles?keyword=${keyword},web-console/src/pages/admin/AdminVendorProfilesPage.tsx,17
CALL-0088,PUT,/admin/vendor-profiles/${body.id},web-console/src/pages/admin/AdminVendorProfilesPage.tsx,22
CALL-0089,POST,/admin/vendor-profiles,web-console/src/pages/admin/AdminVendorProfilesPage.tsx,22
CALL-0090,GET,/admin/vendor-stats?period=${period},web-console/src/pages/admin/AdminVendorStatsPage.tsx,13
CALL-0091,GET,/admin/adjust/pending?level=1,web-console/src/pages/AdminAdjustPage.tsx,206
CALL-0092,GET,/admin/adjust/pending?level=2,web-console/src/pages/AdminAdjustPage.tsx,211
CALL-0093,GET,/admin/adjust/pending?level=3,web-console/src/pages/AdminAdjustPage.tsx,217
CALL-0094,POST,/admin/adjust,web-console/src/pages/AdminAdjustPage.tsx,250
CALL-0095,POST,/admin/adjust/${id}/approve,web-console/src/pages/AdminAdjustPage.tsx,276
CALL-0096,POST,/admin/adjust/${id}/review,web-console/src/pages/AdminAdjustPage.tsx,283
CALL-0097,POST,/admin/adjust/${id}/reject,web-console/src/pages/AdminAdjustPage.tsx,290
CALL-0098,POST,/admin/adjust/${id}/reverse,web-console/src/pages/AdminAdjustPage.tsx,297
CALL-0099,GET,/admin/affiliate/config,web-console/src/pages/AdminAffiliatePage.tsx,22
CALL-0100,GET,/admin/affiliate/records,web-console/src/pages/AdminAffiliatePage.tsx,23
CALL-0101,PUT,/admin/affiliate/config,web-console/src/pages/AdminAffiliatePage.tsx,27
CALL-0102,GET,/admin/agents?${params},web-console/src/pages/AdminAgentsPage.tsx,79
CALL-0103,PUT,/admin/agents/${id},web-console/src/pages/AdminAgentsPage.tsx,86
CALL-0104,PUT,/admin/agents/${id},web-console/src/pages/AdminAgentsPage.tsx,98
CALL-0105,GET,/admin/announcements?status=${status},web-console/src/pages/AdminAnnouncementsPage.tsx,26
CALL-0106,PUT,/admin/announcements/${editor!.id},web-console/src/pages/AdminAnnouncementsPage.tsx,32
CALL-0107,POST,/admin/announcements,web-console/src/pages/AdminAnnouncementsPage.tsx,32
CALL-0108,DELETE,/admin/announcements/${id},web-console/src/pages/AdminAnnouncementsPage.tsx,38
CALL-0109,GET,/admin/announcements/${id}/readers,web-console/src/pages/AdminAnnouncementsPage.tsx,43
CALL-0110,GET,/admin/apikey-policy,web-console/src/pages/AdminApikeySecurityPage.tsx,26
CALL-0111,PUT,/admin/apikey-policy,web-console/src/pages/AdminApikeySecurityPage.tsx,30
CALL-0112,GET,/admin/campaigns?status=${status}&page_size=50,web-console/src/pages/AdminCampaignsPage.tsx,35
CALL-0113,PUT,/admin/campaigns/${editor!.id},web-console/src/pages/AdminCampaignsPage.tsx,52
CALL-0114,POST,/admin/campaigns,web-console/src/pages/AdminCampaignsPage.tsx,52
CALL-0115,POST,/admin/campaigns/${id}/status,web-console/src/pages/AdminCampaignsPage.tsx,58
CALL-0116,DELETE,/admin/campaigns/${id},web-console/src/pages/AdminCampaignsPage.tsx,63
CALL-0117,POST,/admin/campaigns/${detailId}/grant,web-console/src/pages/AdminCampaignsPage.tsx,68
CALL-0118,GET,/admin/chat/conversations/${currentId}/messages,web-console/src/pages/AdminChatPage.tsx,57
CALL-0119,POST,/admin/chat/conversations/${currentId}/reply,web-console/src/pages/AdminChatPage.tsx,65
CALL-0120,POST,/admin/chat/conversations/${currentId}/close,web-console/src/pages/AdminChatPage.tsx,76
CALL-0121,GET,/admin/finance/close/status,web-console/src/pages/AdminClosePage.tsx,50
CALL-0122,GET,/admin/finance/close/history,web-console/src/pages/AdminClosePage.tsx,54
CALL-0123,POST,/admin/finance/close/execute,web-console/src/pages/AdminClosePage.tsx,58
CALL-0124,POST,/admin/finance/close/${unlock?.period}/unlock,web-console/src/pages/AdminClosePage.tsx,72
CALL-0125,GET,/health,web-console/src/pages/AdminCockpitPage.tsx,598
CALL-0126,GET,/admin/suppliers,web-console/src/pages/AdminCockpitPage.tsx,599
CALL-0127,GET,/admin/consent/policies,web-console/src/pages/AdminConsentPage.tsx,97
CALL-0128,PUT,/admin/consent/policies/${editing!.id},web-console/src/pages/AdminConsentPage.tsx,103
CALL-0129,GET,/admin/consent/logs?page_size=100,web-console/src/pages/AdminConsentPage.tsx,212
CALL-0130,GET,/admin/content-moderation?status=${status}&page=${page}&page_size=${PAGE_SIZE},web-console/src/pages/AdminContentModerationPage.tsx,33
CALL-0131,POST,/admin/content-moderation/${id}/${op},web-console/src/pages/AdminContentModerationPage.tsx,39
CALL-0132,GET,/admin/content,web-console/src/pages/AdminContentPage.tsx,16
CALL-0133,PUT,/admin/content/${editing.id},web-console/src/pages/AdminContentPage.tsx,28
CALL-0134,GET,/admin/content,web-console/src/pages/AdminContentPage.tsx,31
CALL-0135,GET,/admin/conversation-records,web-console/src/pages/AdminConversationRecordsPage.tsx,159
CALL-0136,GET,/admin/conversation-records/${requestId},web-console/src/pages/AdminConversationRecordsPage.tsx,181
CALL-0137,GET,/admin/conversation-records/export,web-console/src/pages/AdminConversationRecordsPage.tsx,192
CALL-0138,GET,/admin/conversation-records/retention,web-console/src/pages/AdminConversationRecordsPage.tsx,213
CALL-0139,PUT,/admin/conversation-records/retention,web-console/src/pages/AdminConversationRecordsPage.tsx,227
CALL-0140,POST,/admin/conversation-records/retention/run,web-console/src/pages/AdminConversationRecordsPage.tsx,241
CALL-0141,GET,/admin/conversation-records/retention,web-console/src/pages/AdminConversationRecordsPage.tsx,244
CALL-0142,GET,/admin/coupons?${params},web-console/src/pages/AdminCouponPage.tsx,37
CALL-0143,POST,/admin/coupons/generate,web-console/src/pages/AdminCouponPage.tsx,42
CALL-0144,GET,/admin/credit/meta,web-console/src/pages/AdminCreditPage.tsx,124
CALL-0145,GET,/admin/credit/customers?${params.toString()},web-console/src/pages/AdminCreditPage.tsx,138
CALL-0146,GET,/admin/credit/opened,web-console/src/pages/AdminCreditPage.tsx,149
CALL-0147,GET,/admin/credit/rules?customer_id=${currentCust!.id},web-console/src/pages/AdminCreditPage.tsx,159
CALL-0148,GET,/admin/credit/customers/${id},web-console/src/pages/AdminCreditPage.tsx,189
CALL-0149,GET,/admin/credit/customers/${cid},web-console/src/pages/AdminCreditPage.tsx,209
CALL-0150,PATCH,/admin/credit/rules/${editRuleId},web-console/src/pages/AdminCreditPage.tsx,247
CALL-0151,POST,/admin/credit/rules,web-console/src/pages/AdminCreditPage.tsx,256
CALL-0152,POST,/admin/credit/rules/${id}/toggle,web-console/src/pages/AdminCreditPage.tsx,272
CALL-0153,GET,/admin/customers/${userId},web-console/src/pages/AdminCustomerDetailPage.tsx,78
CALL-0154,GET,/admin/customers/${userId}/consumption?page_size=50,web-console/src/pages/AdminCustomerDetailPage.tsx,84
CALL-0155,GET,/admin/customers/${userId}/recharges?page_size=50,web-console/src/pages/AdminCustomerDetailPage.tsx,90
CALL-0156,GET,/admin/customers/${userId}/api-keys,web-console/src/pages/AdminCustomerDetailPage.tsx,96
CALL-0157,GET,/admin/customers/${userId}/tickets?page_size=50,web-console/src/pages/AdminCustomerDetailPage.tsx,102
CALL-0158,GET,/admin/customers/${userId}/operation-logs?page_size=50,web-console/src/pages/AdminCustomerDetailPage.tsx,108
CALL-0159,PUT,/admin/customers/${userId},web-console/src/pages/AdminCustomerDetailPage.tsx,122
CALL-0160,POST,/admin/customers/${userId}/reset-password,web-console/src/pages/AdminCustomerDetailPage.tsx,155
CALL-0161,PATCH,/admin/customers/${userId}/status,web-console/src/pages/AdminCustomerDetailPage.tsx,195
CALL-0162,GET,/admin/customers?${params.toString()},web-console/src/pages/AdminCustomersPage.tsx,117
CALL-0163,PATCH,/admin/customers/${row.id}/status,web-console/src/pages/AdminCustomersPage.tsx,182
CALL-0164,POST,/admin/customers,web-console/src/pages/AdminCustomersPage.tsx,200
CALL-0165,PUT,/admin/customers/${editTarget?.id},web-console/src/pages/AdminCustomersPage.tsx,234
CALL-0166,POST,/admin/customers/batch/status,web-console/src/pages/AdminCustomersPage.tsx,257
CALL-0167,POST,/admin/customers/batch/reset-password,web-console/src/pages/AdminCustomersPage.tsx,275
CALL-0168,GET,/admin/agents?page_size=200,web-console/src/pages/AdminCustomersPage.tsx,294
CALL-0169,POST,/admin/customers/batch/bind-agent,web-console/src/pages/AdminCustomersPage.tsx,303
CALL-0170,POST,/admin/customers/batch/verify,web-console/src/pages/AdminCustomersPage.tsx,329
CALL-0171,GET,/admin/dashboard,web-console/src/pages/AdminDashboardPage.tsx,39
CALL-0172,GET,/public/stats,web-console/src/pages/AdminDashboardPage.tsx,42
CALL-0173,GET,/admin/data-requests,web-console/src/pages/AdminDataRequestPage.tsx,37
CALL-0174,POST,/admin/data-requests/${id}/approve,web-console/src/pages/AdminDataRequestPage.tsx,44
CALL-0175,POST,/admin/data-requests/${id}/reject,web-console/src/pages/AdminDataRequestPage.tsx,50
CALL-0176,POST,/admin/data-requests/${id}/export,web-console/src/pages/AdminDataRequestPage.tsx,55
CALL-0177,POST,/admin/data-requests,web-console/src/pages/AdminDataRequestPage.tsx,61
CALL-0178,GET,/admin/deletion/stats,web-console/src/pages/AdminDeletionPage.tsx,61
CALL-0179,GET,/admin/deletion/requests/${detailId},web-console/src/pages/AdminDeletionPage.tsx,68
CALL-0180,POST,/admin/deletion/requests/${body.id}/reject,web-console/src/pages/AdminDeletionPage.tsx,77
CALL-0181,POST,/admin/deletion/requests/${id}/complete,web-console/src/pages/AdminDeletionPage.tsx,91
CALL-0182,GET,/admin/discount-rules,web-console/src/pages/AdminDiscountEnginePage.tsx,27
CALL-0183,PUT,/admin/discount-rules/${id},web-console/src/pages/AdminDiscountEnginePage.tsx,31
CALL-0184,PUT,/admin/discount-rules/${payload.editing.id},web-console/src/pages/AdminDiscountEnginePage.tsx,39
CALL-0185,POST,/admin/discount-rules,web-console/src/pages/AdminDiscountEnginePage.tsx,40
CALL-0186,POST,/admin/discount-rules/${id}/delete,web-console/src/pages/AdminDiscountEnginePage.tsx,52
CALL-0187,GET,/admin/disputes,web-console/src/pages/AdminDisputePage.tsx,17
CALL-0188,POST,/admin/disputes/${handling!.id}/resolve,web-console/src/pages/AdminDisputePage.tsx,24
CALL-0189,PUT,/admin/email-templates/${editor!.name},web-console/src/pages/AdminEmailTemplatesPage.tsx,39
CALL-0190,POST,/admin/email-templates,web-console/src/pages/AdminEmailTemplatesPage.tsx,39
CALL-0191,DELETE,/admin/email-templates/${name},web-console/src/pages/AdminEmailTemplatesPage.tsx,45
CALL-0192,POST,/admin/email-templates/${name}/test,web-console/src/pages/AdminEmailTemplatesPage.tsx,51
CALL-0193,POST,/admin/email-templates/${template}/test,web-console/src/pages/AdminEmailTemplatesPage.tsx,56
CALL-0194,GET,/admin/email-logs?page_size=100,web-console/src/pages/AdminEmailTemplatesPage.tsx,62
CALL-0195,GET,/admin/finance/dashboard,web-console/src/pages/AdminFinancePage.tsx,73
CALL-0196,GET,/admin/finance/transactions?limit=10,web-console/src/pages/AdminFinancePage.tsx,78
CALL-0197,GET,/admin/finance/rules,web-console/src/pages/AdminFinanceRiskConfigPage.tsx,183
CALL-0198,PUT,/admin/finance/rules,web-console/src/pages/AdminFinanceRiskConfigPage.tsx,207
CALL-0199,GET,/admin/finance/accounts,web-console/src/pages/AdminFundsAccountsPage.tsx,37
CALL-0200,GET,/admin/finance/accounts/trend?days=30,web-console/src/pages/AdminFundsAccountsPage.tsx,41
CALL-0201,POST,/admin/groups,web-console/src/pages/AdminGroupsPage.tsx,355
CALL-0202,PUT,/admin/groups/${id},web-console/src/pages/AdminGroupsPage.tsx,367
CALL-0203,DELETE,/admin/groups/${id},web-console/src/pages/AdminGroupsPage.tsx,378
CALL-0204,PUT,/admin/users/${userId}/group,web-console/src/pages/AdminGroupsPage.tsx,389
CALL-0205,GET,/admin/i18n/entries,web-console/src/pages/AdminI18nPage.tsx,69
