page_id,app,path,line_count,interactive_markup_count,api_call_count,help_marker_count,query_mutation_count
PAGE-0001,console,web-console/src/pages/admin/AdminAgentApprovalsPage.tsx,293,11,5,6,9
PAGE-0002,console,web-console/src/pages/admin/AdminAuditLogPage.tsx,76,2,1,3,2
PAGE-0003,console,web-console/src/pages/admin/AdminBalanceAlertPage.tsx,152,5,4,4,8
PAGE-0004,console,web-console/src/pages/admin/AdminCommissionFlowPage.tsx,219,4,1,3,2
PAGE-0005,console,web-console/src/pages/admin/AdminCompetitiveMonitorPage.tsx,93,1,1,3,2
PAGE-0006,console,web-console/src/pages/admin/AdminConsumptionAnomalyPage.tsx,129,3,2,3,6
PAGE-0007,console,web-console/src/pages/admin/AdminConsumptionStreamPage.tsx,112,1,1,3,2
PAGE-0008,console,web-console/src/pages/admin/AdminConsumptionTrackingPage.tsx,109,3,1,3,2
PAGE-0009,console,web-console/src/pages/admin/AdminConversionFunnelPage.tsx,98,1,1,3,2
PAGE-0010,console,web-console/src/pages/admin/AdminCostDashboardPage.tsx,88,1,1,3,2
PAGE-0011,console,web-console/src/pages/admin/AdminCostPredictionPage.tsx,84,1,1,3,2
PAGE-0012,console,web-console/src/pages/admin/AdminCustomerSuccessPage.tsx,276,6,1,5,2
PAGE-0013,console,web-console/src/pages/admin/AdminMarketplaceHealthPage.tsx,402,6,3,3,7
PAGE-0014,console,web-console/src/pages/admin/AdminMarketplacePage.tsx,61,2,1,2,2
PAGE-0015,console,web-console/src/pages/admin/AdminModelServicePage.tsx,96,4,3,3,7
PAGE-0016,console,web-console/src/pages/admin/AdminMultimodalModelsPage.tsx,129,3,2,3,6
PAGE-0017,console,web-console/src/pages/admin/AdminOperationDiffPage.tsx,99,1,1,3,2
PAGE-0018,console,web-console/src/pages/admin/AdminOperatorDashboardPage.tsx,114,2,1,3,2
PAGE-0019,console,web-console/src/pages/admin/AdminPriceChangePage.tsx,490,15,7,5,11
PAGE-0020,console,web-console/src/pages/admin/AdminProfitPage.tsx,84,1,1,3,2
PAGE-0021,console,web-console/src/pages/admin/AdminReconciliationDiffPage.tsx,99,3,2,3,6
PAGE-0022,console,web-console/src/pages/admin/AdminReconciliationPage.tsx,86,1,1,3,2
PAGE-0023,console,web-console/src/pages/admin/AdminRiskEventsPage.tsx,97,5,2,3,6
PAGE-0024,console,web-console/src/pages/admin/AdminRiskPage.tsx,75,1,1,3,2
PAGE-0025,console,web-console/src/pages/admin/AdminRiskRulesPage.tsx,121,9,4,3,7
PAGE-0026,console,web-console/src/pages/admin/AdminSecurityIncidentPage.tsx,148,4,2,3,6
PAGE-0027,console,web-console/src/pages/admin/AdminSecurityIpBlacklistPage.tsx,136,6,3,3,7
PAGE-0028,console,web-console/src/pages/admin/AdminSettlementPage.tsx,107,3,2,3,6
PAGE-0029,console,web-console/src/pages/admin/AdminSmtpSettingsPage.tsx,155,8,3,2,7
PAGE-0030,console,web-console/src/pages/admin/AdminSupplierBillMatchPage.tsx,239,12,1,4,2
PAGE-0031,console,web-console/src/pages/admin/AdminSupplierDetailPage.tsx,395,9,4,4,8
PAGE-0032,console,web-console/src/pages/admin/AdminSupplierListPage.tsx,335,14,4,2,8
PAGE-0033,console,web-console/src/pages/admin/AdminVendorCostPage.tsx,95,5,2,3,6
PAGE-0034,console,web-console/src/pages/admin/AdminVendorPerformancePage.tsx,88,1,1,3,2
PAGE-0035,console,web-console/src/pages/admin/AdminVendorPricingPage.tsx,99,5,2,3,6
PAGE-0036,console,web-console/src/pages/admin/AdminVendorProfilesPage.tsx,105,9,3,3,6
PAGE-0037,console,web-console/src/pages/admin/AdminVendorStatsPage.tsx,76,1,1,3,2
PAGE-0038,console,web-console/src/pages/AdminActivityPage.tsx,105,2,1,2,4
PAGE-0039,console,web-console/src/pages/AdminAdjustPage.tsx,622,16,9,11,13
PAGE-0040,console,web-console/src/pages/AdminAffiliatePage.tsx,105,7,3,6,0
PAGE-0041,console,web-console/src/pages/AdminAgentsPage.tsx,294,9,3,0,7
PAGE-0042,console,web-console/src/pages/AdminAnnouncementsPage.tsx,128,12,5,2,7
PAGE-0043,console,web-console/src/pages/AdminApikeySecurityPage.tsx,103,6,2,9,0
