route_id,router,source,line,route,target,raw
ROUTE-0001,react,web-console/src/App.tsx,170,/vendor/login,{<VendorLoginPage,"path=""/vendor/login"" element={<VendorLoginPage /"
ROUTE-0002,react,web-console/src/App.tsx,171,/vendor/register,{<VendorRegisterPage,"path=""/vendor/register"" element={<VendorRegisterPage /"
ROUTE-0003,react,web-console/src/App.tsx,172,/vendor,{<VendorLayout,"path=""/vendor"" element={<VendorLayout /"
ROUTE-0004,react,web-console/src/App.tsx,173,,{<VendorDashboardPage,index element={<VendorDashboardPage /
ROUTE-0005,react,web-console/src/App.tsx,174,models,{<VendorModelsPage,"path=""models"" element={<VendorModelsPage /"
ROUTE-0006,react,web-console/src/App.tsx,175,stats,{<VendorStatsPage,"path=""stats"" element={<VendorStatsPage /"
ROUTE-0007,react,web-console/src/App.tsx,176,settlements,{<VendorSettlementsPage,"path=""settlements"" element={<VendorSettlementsPage /"
ROUTE-0008,react,web-console/src/App.tsx,179,/ux-demo,{<UxDemoPage,"path=""/ux-demo"" element={<UxDemoPage /"
ROUTE-0009,react,web-console/src/App.tsx,180,/login,{token,"path=""/login"" element={token ? <Navigate to=""/"" replace /"
ROUTE-0010,react,web-console/src/App.tsx,181,/register,{<RegisterPage,"path=""/register"" element={<RegisterPage /"
ROUTE-0011,react,web-console/src/App.tsx,182,/forgot-password,{<ForgotPasswordPage,"path=""/forgot-password"" element={<ForgotPasswordPage /"
ROUTE-0012,react,web-console/src/App.tsx,183,/oauth,{<OAuthPage,"path=""/oauth"" element={<OAuthPage /"
ROUTE-0013,react,web-console/src/App.tsx,184,/,{,"path=""/""
        element={
          <Protected"
ROUTE-0014,react,web-console/src/App.tsx,192,,{<DashboardRedirect,index element={<DashboardRedirect /
ROUTE-0015,react,web-console/src/App.tsx,193,statistics,{<StatisticsPage,"path=""statistics"" element={<StatisticsPage /"
ROUTE-0016,react,web-console/src/App.tsx,194,api-keys,{<ApiKeysPage,"path=""api-keys"" element={<ApiKeysPage /"
ROUTE-0017,react,web-console/src/App.tsx,195,logs,{<LogsPage,"path=""logs"" element={<LogsPage /"
ROUTE-0018,react,web-console/src/App.tsx,196,recharge,{<RechargePage,"path=""recharge"" element={<RechargePage /"
ROUTE-0019,react,web-console/src/App.tsx,197,billing,{<BillingPage,"path=""billing"" element={<BillingPage /"
ROUTE-0020,react,web-console/src/App.tsx,198,invoices,{<InvoicesPage,"path=""invoices"" element={<InvoicesPage /"
ROUTE-0021,react,web-console/src/App.tsx,199,agent/settings,{<AgentSettingsPage,"path=""agent/settings"" element={<AgentSettingsPage /"
ROUTE-0022,react,web-console/src/App.tsx,200,agent/settlements,{<AgentSettlementPage,"path=""agent/settlements"" element={<AgentSettlementPage /"
ROUTE-0023,react,web-console/src/App.tsx,201,agent/dashboard,{<AgentDashboardPage,"path=""agent/dashboard"" element={<AgentDashboardPage /"
ROUTE-0024,react,web-console/src/App.tsx,202,agent/commission,{<AgentCommissionPage,"path=""agent/commission"" element={<AgentCommissionPage /"
ROUTE-0025,react,web-console/src/App.tsx,203,agent/consumption,{<AgentConsumptionPage,"path=""agent/consumption"" element={<AgentConsumptionPage /"
ROUTE-0026,react,web-console/src/App.tsx,204,agent/customers,{<AgentCustomersPage,"path=""agent/customers"" element={<AgentCustomersPage /"
ROUTE-0027,react,web-console/src/App.tsx,205,agent/invite,{<AgentInvitePage,"path=""agent/invite"" element={<AgentInvitePage /"
ROUTE-0028,react,web-console/src/App.tsx,206,agent/ranking,{<AgentRankingPage,"path=""agent/ranking"" element={<AgentRankingPage /"
ROUTE-0029,react,web-console/src/App.tsx,207,agent/withdraw,{<AgentWithdrawPage,"path=""agent/withdraw"" element={<AgentWithdrawPage /"
ROUTE-0030,react,web-console/src/App.tsx,208,admin/dashboard,{<AdminDashboardPage,"path=""admin/dashboard"" element={<AdminDashboardPage /"
ROUTE-0031,react,web-console/src/App.tsx,209,admin/cockpit,{<AdminCockpitPage,"path=""admin/cockpit"" element={<AdminCockpitPage /"
ROUTE-0032,react,web-console/src/App.tsx,211,admin/customers,{<AdminCustomersPage,"path=""admin/customers"" element={<AdminCustomersPage /"
ROUTE-0033,react,web-console/src/App.tsx,212,admin/customers/:userId,{<AdminCustomerDetailPage,"path=""admin/customers/:userId"" element={<AdminCustomerDetailPage /"
ROUTE-0034,react,web-console/src/App.tsx,213,admin/customers/quotas,{<AdminCreditPage,"path=""admin/customers/quotas"" element={<AdminCreditPage /"
ROUTE-0035,react,web-console/src/App.tsx,214,admin/customers/verifications,{<AdminRealNamePage,"path=""admin/customers/verifications"" element={<AdminRealNamePage /"
ROUTE-0036,react,web-console/src/App.tsx,215,admin/account-deletion,{<AdminDeletionPage,"path=""admin/account-deletion"" element={<AdminDeletionPage /"
ROUTE-0037,react,web-console/src/App.tsx,217,admin/finance/dashboard,{<AdminFinancePage,"path=""admin/finance/dashboard"" element={<AdminFinancePage /"
ROUTE-0038,react,web-console/src/App.tsx,218,admin/finance/accounts,{<AdminFundsAccountsPage,"path=""admin/finance/accounts"" element={<AdminFundsAccountsPage /"
ROUTE-0039,react,web-console/src/App.tsx,219,admin/finance/close,{<AdminClosePage,"path=""admin/finance/close"" element={<AdminClosePage /"
ROUTE-0040,react,web-console/src/App.tsx,220,admin/finance/manual-topup,{<AdminManualRechargePage,"path=""admin/finance/manual-topup"" element={<AdminManualRechargePage /"
ROUTE-0041,react,web-console/src/App.tsx,221,admin/finance/adjust,{<AdminAdjustPage,"path=""admin/finance/adjust"" element={<AdminAdjustPage /"
ROUTE-0042,react,web-console/src/App.tsx,222,admin/finance/risk-config,{<AdminFinanceRiskConfigPage,"path=""admin/finance/risk-config"" element={<AdminFinanceRiskConfigPage /"
ROUTE-0043,react,web-console/src/App.tsx,223,admin/finance/orders,{<AdminRechargeOrdersPage,"path=""admin/finance/orders"" element={<AdminRechargeOrdersPage /"
ROUTE-0044,react,web-console/src/App.tsx,224,admin/finance/commissions,{<AdminCommissionFlowPage,"path=""admin/finance/commissions"" element={<AdminCommissionFlowPage /"
ROUTE-0045,react,web-console/src/App.tsx,225,admin/finance/refunds,{<AdminRefundReviewPage,"path=""admin/finance/refunds"" element={<AdminRefundReviewPage /"
ROUTE-0046,react,web-console/src/App.tsx,226,admin/finance/invoices,{<AdminInvoicesPage,"path=""admin/finance/invoices"" element={<AdminInvoicesPage /"
ROUTE-0047,react,web-console/src/App.tsx,227,admin/finance/withdrawals,{<AdminWithdrawalsPage,"path=""admin/finance/withdrawals"" element={<AdminWithdrawalsPage /"
ROUTE-0048,react,web-console/src/App.tsx,228,admin/finance/coupons,{<AdminRedemptionPage,"path=""admin/finance/coupons"" element={<AdminRedemptionPage /"
ROUTE-0049,react,web-console/src/App.tsx,229,admin/finance/reconciliation,{<AdminReconciliationPage,"path=""admin/finance/reconciliation"" element={<AdminReconciliationPage /"
ROUTE-0050,react,web-console/src/App.tsx,230,admin/finance/reconciliation-diff,{<AdminReconciliationDiffPage,"path=""admin/finance/reconciliation-diff"" element={<AdminReconciliationDiffPage /"
ROUTE-0051,react,web-console/src/App.tsx,231,admin/finance/discount-engine,{<AdminDiscountEnginePage,"path=""admin/finance/discount-engine"" element={<AdminDiscountEnginePage /"
ROUTE-0052,react,web-console/src/App.tsx,232,admin/finance/tax-banking,{<AdminTaxBankingPage,"path=""admin/finance/tax-banking"" element={<AdminTaxBankingPage /"
ROUTE-0053,react,web-console/src/App.tsx,233,admin/finance/supplier-bill-match,{<AdminSupplierBillMatchPage,"path=""admin/finance/supplier-bill-match"" element={<AdminSupplierBillMatchPage /"
ROUTE-0054,react,web-console/src/App.tsx,234,admin/finance/cost-dashboard,{<AdminCostDashboardPage,"path=""admin/finance/cost-dashboard"" element={<AdminCostDashboardPage /"
ROUTE-0055,react,web-console/src/App.tsx,235,admin/finance/cost-prediction,{<AdminCostPredictionPage,"path=""admin/finance/cost-prediction"" element={<AdminCostPredictionPage /"
ROUTE-0056,react,web-console/src/App.tsx,236,admin/finance/settlement,{<AdminSettlementPage,"path=""admin/finance/settlement"" element={<AdminSettlementPage /"
ROUTE-0057,react,web-console/src/App.tsx,237,admin/finance/profit,{<AdminProfitPage,"path=""admin/finance/profit"" element={<AdminProfitPage /"
ROUTE-0058,react,web-console/src/App.tsx,238,admin/finance/pricing,{<AdminPricingPage,"path=""admin/finance/pricing"" element={<AdminPricingPage /"
ROUTE-0059,react,web-console/src/App.tsx,240,admin/suppliers,{<AdminSupplierListPage,"path=""admin/suppliers"" element={<AdminSupplierListPage /"
ROUTE-0060,react,web-console/src/App.tsx,241,admin/suppliers/:id,{<AdminSupplierDetailPage,"path=""admin/suppliers/:id"" element={<AdminSupplierDetailPage /"
ROUTE-0061,react,web-console/src/App.tsx,242,admin/suppliers/model-service,{<AdminModelServicePage,"path=""admin/suppliers/model-service"" element={<AdminModelServicePage /"
ROUTE-0062,react,web-console/src/App.tsx,243,admin/suppliers/vendor-profiles,{<AdminVendorProfilesPage,"path=""admin/suppliers/vendor-profiles"" element={<AdminVendorProfilesPage /"
ROUTE-0063,react,web-console/src/App.tsx,244,admin/suppliers/vendor-pricing,{<AdminVendorPricingPage,"path=""admin/suppliers/vendor-pricing"" element={<AdminVendorPricingPage /"
ROUTE-0064,react,web-console/src/App.tsx,245,admin/suppliers/vendor-cost,{<AdminVendorCostPage,"path=""admin/suppliers/vendor-cost"" element={<AdminVendorCostPage /"
ROUTE-0065,react,web-console/src/App.tsx,246,admin/suppliers/vendor-stats,{<AdminVendorStatsPage,"path=""admin/suppliers/vendor-stats"" element={<AdminVendorStatsPage /"
ROUTE-0066,react,web-console/src/App.tsx,247,admin/suppliers/price-change,{<AdminPriceChangePage,"path=""admin/suppliers/price-change"" element={<AdminPriceChangePage /"
ROUTE-0067,react,web-console/src/App.tsx,248,admin/suppliers/vendor-performance,{<AdminVendorPerformancePage,"path=""admin/suppliers/vendor-performance"" element={<AdminVendorPerformancePage /"
ROUTE-0068,react,web-console/src/App.tsx,249,admin/suppliers/multimodal-models,{<AdminMultimodalModelsPage,"path=""admin/suppliers/multimodal-models"" element={<AdminMultimodalModelsPage /"
ROUTE-0069,react,web-console/src/App.tsx,250,admin/suppliers/competitive-monitor,{<AdminCompetitiveMonitorPage,"path=""admin/suppliers/competitive-monitor"" element={<AdminCompetitiveMonitorPage /"
ROUTE-0070,react,web-console/src/App.tsx,252,admin/agents,{<AdminAgentsPage,"path=""admin/agents"" element={<AdminAgentsPage /"
ROUTE-0071,react,web-console/src/App.tsx,253,admin/agents/:id,{<AdminAgentsPage,"path=""admin/agents/:id"" element={<AdminAgentsPage /"
ROUTE-0072,react,web-console/src/App.tsx,254,admin/agents/commission-config,{<AdminAgentsPage,"path=""admin/agents/commission-config"" element={<AdminAgentsPage /"
ROUTE-0073,react,web-console/src/App.tsx,255,admin/agents/approvals,{<AdminAgentApprovalsPage,"path=""admin/agents/approvals"" element={<AdminAgentApprovalsPage /"
ROUTE-0074,react,web-console/src/App.tsx,256,admin/agents/withdrawals,{<AdminWithdrawalsPage,"path=""admin/agents/withdrawals"" element={<AdminWithdrawalsPage /"
ROUTE-0075,react,web-console/src/App.tsx,258,admin/models,{<AdminModelsPage,"path=""admin/models"" element={<AdminModelsPage /"
ROUTE-0076,react,web-console/src/App.tsx,259,admin/models/marketplace,{<AdminMarketplaceHealthPage,"path=""admin/models/marketplace"" element={<AdminMarketplaceHealthPage /"
ROUTE-0077,react,web-console/src/App.tsx,261,admin/marketing/affiliate,{<AdminAffiliatePage,"path=""admin/marketing/affiliate"" element={<AdminAffiliatePage /"
ROUTE-0078,react,web-console/src/App.tsx,262,admin/marketing/campaigns,{<AdminCampaignsPage,"path=""admin/marketing/campaigns"" element={<AdminCampaignsPage /"
ROUTE-0079,react,web-console/src/App.tsx,264,admin/tickets,{<AdminTicketsPage,"path=""admin/tickets"" element={<AdminTicketsPage /"
ROUTE-0080,react,web-console/src/App.tsx,265,admin/tickets/dispute,{<AdminDisputePage,"path=""admin/tickets/dispute"" element={<AdminDisputePage /"
ROUTE-0081,react,web-console/src/App.tsx,266,admin/tickets/support,{<AdminSupportPage,"path=""admin/tickets/support"" element={<AdminSupportPage /"
ROUTE-0082,react,web-console/src/App.tsx,267,admin/tickets/chat,{<AdminChatPage,"path=""admin/tickets/chat"" element={<AdminChatPage /"
ROUTE-0083,react,web-console/src/App.tsx,268,admin/tickets/knowledge-base,{<AdminKnowledgeBasePage,"path=""admin/tickets/knowledge-base"" element={<AdminKnowledgeBasePage /"
ROUTE-0084,react,web-console/src/App.tsx,270,admin/settings/announcements,{<AdminAnnouncementsPage,"path=""admin/settings/announcements"" element={<AdminAnnouncementsPage /"
ROUTE-0085,react,web-console/src/App.tsx,271,admin/settings/roles,{<AdminRolesPage,"path=""admin/settings/roles"" element={<AdminRolesPage /"
ROUTE-0086,react,web-console/src/App.tsx,272,admin/settings/i18n,{<AdminI18nPage,"path=""admin/settings/i18n"" element={<AdminI18nPage /"
ROUTE-0087,react,web-console/src/App.tsx,273,admin/settings/notification-policy,{<AdminNotificationPolicyPage,"path=""admin/settings/notification-policy"" element={<AdminNotificationPolicyPage /"
ROUTE-0088,react,web-console/src/App.tsx,274,admin/settings/operator-dashboard,{<AdminOperatorDashboardPage,"path=""admin/settings/operator-dashboard"" element={<AdminOperatorDashboardPage /"
ROUTE-0089,react,web-console/src/App.tsx,275,admin/settings/user-permissions,{<AdminUsersPermissionPage,"path=""admin/settings/user-permissions"" element={<AdminUsersPermissionPage /"
ROUTE-0090,react,web-console/src/App.tsx,276,admin/settings/payment,{<AdminPaymentPage,"path=""admin/settings/payment"" element={<AdminPaymentPage /"
ROUTE-0091,react,web-console/src/App.tsx,277,admin/ops/activity,{<AdminActivityPage,"path=""admin/ops/activity"" element={<AdminActivityPage /"
ROUTE-0092,react,web-console/src/App.tsx,278,admin/subscription,{<AdminSubscriptionPage,"path=""admin/subscription"" element={<AdminSubscriptionPage /"
ROUTE-0093,react,web-console/src/App.tsx,280,admin/config/groups,{<AdminGroupsPage,"path=""admin/config/groups"" element={<AdminGroupsPage /"
ROUTE-0094,react,web-console/src/App.tsx,281,admin/config/performance,{<AdminPerformancePage,"path=""admin/config/performance"" element={<AdminPerformancePage /"
ROUTE-0095,react,web-console/src/App.tsx,282,admin/config/webhook-retry,{<AdminWebhookRetryPage,"path=""admin/config/webhook-retry"" element={<AdminWebhookRetryPage /"
ROUTE-0096,react,web-console/src/App.tsx,283,admin/config/undo,{<AdminUndoPage,"path=""admin/config/undo"" element={<AdminUndoPage /"
ROUTE-0097,react,web-console/src/App.tsx,284,admin/config/smtp,{<AdminSmtpSettingsPage,"path=""admin/config/smtp"" element={<AdminSmtpSettingsPage /"
ROUTE-0098,react,web-console/src/App.tsx,285,admin/config/logs,{<AdminSysLogsPage,"path=""admin/config/logs"" element={<AdminSysLogsPage /"
ROUTE-0099,react,web-console/src/App.tsx,286,admin/config/maintenance,{<AdminSysVersionPage,"path=""admin/config/maintenance"" element={<AdminSysVersionPage /"
ROUTE-0100,react,web-console/src/App.tsx,287,admin/config/site,{<AdminSettingsPage,"path=""admin/config/site"" element={<AdminSettingsPage /"
ROUTE-0101,react,web-console/src/App.tsx,288,admin/config/rate-limit,{<AdminSettingsPage,"path=""admin/config/rate-limit"" element={<AdminSettingsPage /"
ROUTE-0102,react,web-console/src/App.tsx,289,admin/config/email-templates,{<AdminEmailTemplatesPage,"path=""admin/config/email-templates"" element={<AdminEmailTemplatesPage /"
ROUTE-0103,react,web-console/src/App.tsx,290,admin/config/content,{<AdminContentPage,"path=""admin/config/content"" element={<AdminContentPage /"
ROUTE-0104,react,web-console/src/App.tsx,291,admin/config/webhooks,{<AdminWebhooksPage,"path=""admin/config/webhooks"" element={<AdminWebhooksPage /"
